TDC_KVHX;CanOrderFiber;CanOrderCoax;IsRgu
1010004021A03TV;False;True;True
1010004021A03TV;False;True;True
1010004021A04TH;False;True;True
1010004021A04TV;False;True;
1010004021A05TH;False;True;True
1010004021A05TH;False;True;True
1010004021B05TV;False;True;True
1010004021BSTTH;False;True;True
1010004021BSTTH;False;True;True
1010004021BSTTH;False;True;True
1010004021BSTTV;False;True;True
1010004023;False;False;
1010004023 01TH;False;True;True
1010004025;False;False;
1010004025 01;False;True;True
1010004025 01;False;True;True
1010004025 01;False;True;True
1010004025 01;False;True;True
1010004025 02;False;True;True
1010004025 03;False;True;True
1010004026 05TH;False;True;
1010004026 05TV;False;True;True
1010004027;False;False;
1010004027 01TH;False;False;
1010004029 02TV;False;True;
1010004029 03TH;False;True;
1010004029 03TV;False;True;
1010004029 04TH;False;True;
1010004031 03TV;False;True;
1010004031 04TH;False;True;
1010004031 04TV;False;True;True
1010004031 05TH;False;True;
1010004031 05TV;False;True;
1010004033 05TH;False;True;True
1010004033 05TV;False;True;
1010004033 KLTH;False;True;True
1010004033 KLTV;False;True;
1010005002 010013;True;False;
1010005002 010014;True;False;
1010005002 010015;True;False;
1010005002 010016;True;False;
1010005008 010007;True;False;True
1010005008 010008;True;False;
1010005008 020001;True;False;True
1010005008 020002;True;False;True
1010005008 020002;True;False;True
1010005008 020003;True;False;True
1010003021P05;False;False;False
1010003021P05;False;False;False
1010003021P05;False;False;False
1010020023G;False;False;
1010004007 03;False;False;
1010004021A01;False;False;
1010020031;False;True;True
1010020031;False;True;True
1010020031;False;True;True
1010000000;False;False;
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;False
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;True
1010001000;False;False;False
1010001000;False;False;True
